Titel;Art;Von_Datum;Von_Uhrzeit;Bis_Datum;Bis_Uhrzeit;Beschreibung;Ort;Verantwortlich
Neujahr;Ferien & freie Tage;01.01.2025;00:00;01.01.2025;23:59;;;
B-Woche (02.);;06.01.2025;00:00;10.01.2025;23:59;Bei der 02. Woche handelt es sich um eine B-Woche.;;
A-Woche (03.);;13.01.2025;00:00;17.01.2025;23:59;Bei der 03. Woche handelt es sich um eine A-Woche.;;
B-Woche (04.);;20.01.2025;00:00;24.01.2025;23:59;Bei der 04. Woche handelt es sich um eine B-Woche.;;
A-Woche (05.);;27.01.2025;00:00;31.01.2025;23:59;Bei der 05. Woche handelt es sich um eine A-Woche.;;
B-Woche (06.);;03.02.2025;00:00;07.02.2025;23:59;Bei der 06. Woche handelt es sich um eine B-Woche.;;
A-Woche (07.);;10.02.2025;00:00;14.02.2025;23:59;Bei der 07. Woche handelt es sich um eine A-Woche.;;
B-Woche (08.);;17.02.2025;00:00;21.02.2025;23:59;Bei der 08. Woche handelt es sich um eine B-Woche.;;
A-Woche (09.);;24.02.2025;00:00;28.02.2025;23:59;Bei der 09. Woche handelt es sich um eine A-Woche.;;
Lernfeld 01 11 - 12 (11bfi0, 12bfi0) Klausur;Klausuren;25.02.2025;11:30;25.02.2025;13:00;Klausur in Lernfeld 01 11 - 12 (11bfi0, 12bfi0) (112LF0130-BFSM/INVE/OHNE);;
B-Woche (10.);;03.03.2025;00:00;07.03.2025;23:59;Bei der 10. Woche handelt es sich um eine B-Woche.;;
Lernfeld 01 11 - 12 (11bfi0, 12bfi0) Klausur;Klausuren;04.03.2025;11:30;04.03.2025;13:00;Klausur in Lernfeld 01 11 - 12 (11bfi0, 12bfi0) (112LF0130-BFSM/INVE/OHNE);;
A-Woche (11.);;10.03.2025;00:00;14.03.2025;23:59;Bei der 11. Woche handelt es sich um eine A-Woche.;;
B-Woche (12.);;17.03.2025;00:00;21.03.2025;23:59;Bei der 12. Woche handelt es sich um eine B-Woche.;;
Lernfeld 02 11 - 12 (11bfi0, 12bfi0) Klausur;Klausuren;21.03.2025;09:45;21.03.2025;11:15;Klausur in Lernfeld 02 11 - 12 (11bfi0, 12bfi0) (112LF0219-BFSM/INVE/OHNE);;
A-Woche (13.);;24.03.2025;00:00;28.03.2025;23:59;Bei der 13. Woche handelt es sich um eine A-Woche.;;
B-Woche (14.);;31.03.2025;00:00;04.04.2025;23:59;Bei der 14. Woche handelt es sich um eine B-Woche.;;
A-Woche (15.);;07.04.2025;00:00;11.04.2025;23:59;Bei der 15. Woche handelt es sich um eine A-Woche.;;
B-Woche (16.);;14.04.2025;00:00;18.04.2025;23:59;Bei der 16. Woche handelt es sich um eine B-Woche.;;
Karfreitag;Ferien & freie Tage;18.04.2025;00:00;18.04.2025;23:59;;;
Ostersonntag;Ferien & freie Tage;20.04.2025;00:00;20.04.2025;23:59;;;
A-Woche (17.);;21.04.2025;00:00;25.04.2025;23:59;Bei der 17. Woche handelt es sich um eine A-Woche.;;
Ostermontag;Ferien & freie Tage;21.04.2025;00:00;21.04.2025;23:59;;;
B-Woche (18.);;28.04.2025;00:00;02.05.2025;23:59;Bei der 18. Woche handelt es sich um eine B-Woche.;;
Lernfeld 07 11 - 12 (11bfi0, 12bfi0) Klausur;Klausuren;30.04.2025;11:30;30.04.2025;15:00;Klausur in Lernfeld 07 11 - 12 (11bfi0, 12bfi0) (112LF0728-BFSM/INVE/OHNE);;
Tag der Arbeit;Ferien & freie Tage;01.05.2025;00:00;01.05.2025;23:59;;;
A-Woche (19.);;05.05.2025;00:00;09.05.2025;23:59;Bei der 19. Woche handelt es sich um eine A-Woche.;;
B-Woche (20.);;12.05.2025;00:00;16.05.2025;23:59;Bei der 20. Woche handelt es sich um eine B-Woche.;;
Deutschklausur;1_Termin;13.05.2025;08:00;13.05.2025;09:30;;R 34;GünD
Lernfeld 02 11 - 12 (11bfi0, 12bfi0) Klausur;Klausuren;16.05.2025;09:45;16.05.2025;11:15;Klausur in Lernfeld 02 11 - 12 (11bfi0, 12bfi0) (112LF0219-BFSM/INVE/OHNE);;
A-Woche (21.);;19.05.2025;00:00;23.05.2025;23:59;Bei der 21. Woche handelt es sich um eine A-Woche.;;
Lernfeld 05 11 - 12 (11bfi0, 12bfi0) Klausur;Klausuren;19.05.2025;08:00;19.05.2025;13:00;Klausur in Lernfeld 05 11 - 12 (11bfi0, 12bfi0) (112LF0533-BFSM/INVE/OHNE);;
Lernfeld 02 11 - 12 (11bfi0, 12bfi0) Klausur;Klausuren;23.05.2025;09:45;23.05.2025;11:15;Klausur in Lernfeld 02 11 - 12 (11bfi0, 12bfi0) (112LF0219-BFSM/INVE/OHNE);;
B-Woche (22.);;26.05.2025;00:00;30.05.2025;23:59;Bei der 22. Woche handelt es sich um eine B-Woche.;;
Lernfeld 01 11 - 12 (11bfi0, 12bfi0) Klausur;Klausuren;27.05.2025;11:30;27.05.2025;13:00;Klausur in Lernfeld 01 11 - 12 (11bfi0, 12bfi0) (112LF0130-BFSM/INVE/OHNE);;
Christi Himmelfahrt;Ferien & freie Tage;29.05.2025;00:00;29.05.2025;23:59;;;
A-Woche (23.);;02.06.2025;00:00;06.06.2025;23:59;Bei der 23. Woche handelt es sich um eine A-Woche.;;
Pfingstsonntag;Ferien & freie Tage;08.06.2025;00:00;08.06.2025;23:59;;;
B-Woche (24.);;09.06.2025;00:00;13.06.2025;23:59;Bei der 24. Woche handelt es sich um eine B-Woche.;;
Pfingstmontag;Ferien & freie Tage;09.06.2025;00:00;09.06.2025;23:59;;;
A-Woche (25.);;16.06.2025;00:00;20.06.2025;23:59;Bei der 25. Woche handelt es sich um eine A-Woche.;;
Fronleichnam;Ferien & freie Tage;19.06.2025;00:00;19.06.2025;23:59;;;
B-Woche (26.);;23.06.2025;00:00;27.06.2025;23:59;Bei der 26. Woche handelt es sich um eine B-Woche.;;
A-Woche (27.);;30.06.2025;00:00;04.07.2025;23:59;Bei der 27. Woche handelt es sich um eine A-Woche.;;
B-Woche (28.);;07.07.2025;00:00;11.07.2025;23:59;Bei der 28. Woche handelt es sich um eine B-Woche.;;
A-Woche (29.);;14.07.2025;00:00;18.07.2025;23:59;Bei der 29. Woche handelt es sich um eine A-Woche.;;
B-Woche (30.);;21.07.2025;00:00;25.07.2025;23:59;Bei der 30. Woche handelt es sich um eine B-Woche.;;
